categoria,capitulo,descricao_categoria,grupo,sub_categoria,descricao_subcategoria,descricao_grupo,descricao_capitulo
F01,V,Demência vascular,F00-F09,F011,Demência por infartos múltiplos,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F01,V,Demência vascular,F00-F09,F012,Demência vascular subcortical,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F01,V,Demência vascular,F00-F09,F013,"Demência vascular mista, cortical e subcortical","Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F01,V,Demência vascular,F00-F09,F018,Outra demência vascular,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F01,V,Demência vascular,F00-F09,F019,Demência vascular não especificada,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F02,V,Demência em outras doenças classificadas em outra parte,F00-F09,F020,Demência da doença de Pick,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F02,V,Demência em outras doenças classificadas em outra parte,F00-F09,F021,Demência na doença de Creutzfeldt-Jakob,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F02,V,Demência em outras doenças classificadas em outra parte,F00-F09,F022,Demência na doença de Huntington,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F02,V,Demência em outras doenças classificadas em outra parte,F00-F09,F023,Demência na doença de Parkinson,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F02,V,Demência em outras doenças classificadas em outra parte,F00-F09,F024,Demência na doença pelo vírus da imunodeficiência humana [HIV],"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F02,V,Demência em outras doenças classificadas em outra parte,F00-F09,F028,Demência em outras doenças especificadas classificadas em outra parte,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F03,V,Demência não especificada,F00-F09,F03,Demência não especificada,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F04,V,Síndrome amnésica orgânica não induzida pelo álcool ou por outras substâncias psicoativas,F00-F09,F04,Síndrome amnésica orgânica não induzida pelo álcool ou por outras substâncias psicoativas,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F05,V,Delirium não induzido pelo álcool ou por outras substâncias psicoativas,F00-F09,F050,"Delirium não superposto a uma demência, assim descrito","Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F05,V,Delirium não induzido pelo álcool ou por outras substâncias psicoativas,F00-F09,F051,Delirium superposto a uma demência,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F05,V,Delirium não induzido pelo álcool ou por outras substâncias psicoativas,F00-F09,F058,Outro delirium,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F05,V,Delirium não induzido pelo álcool ou por outras substâncias psicoativas,F00-F09,F059,Delirium não especificado,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F06,V,Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física,F00-F09,F060,Alucinose orgânica,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F06,V,Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física,F00-F09,F061,Estado catatônico orgânico,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F06,V,Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física,F00-F09,F062,Transtorno delirante orgânico [tipo esquizofrênico],"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F06,V,Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física,F00-F09,F063,Transtornos do humor [afetivos] orgânicos,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F06,V,Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física,F00-F09,F064,Transtornos da ansiedade orgânicos,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F06,V,Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física,F00-F09,F065,Transtorno dissociativo orgânico,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F06,V,Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física,F00-F09,F066,Transtorno de labilidade emocional [astênico] orgânico,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F06,V,Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física,F00-F09,F067,Transtorno cognitivo leve,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F06,V,Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física,F00-F09,F068,Outros transtornos mentais especificados devidos a uma lesão e disfunção cerebral e a uma doença física,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F06,V,Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física,F00-F09,F069,Transtorno mental não especificado devido a uma lesão e disfunção cerebral e a uma doença física,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F07,V,"Transtornos de personalidade e do comportamento devidos a doença, a lesão e a disfunção cerebral",F00-F09,F070,Transtorno orgânico da personalidade,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F07,V,"Transtornos de personalidade e do comportamento devidos a doença, a lesão e a disfunção cerebral",F00-F09,F071,Síndrome pós-encefalítica,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F07,V,"Transtornos de personalidade e do comportamento devidos a doença, a lesão e a disfunção cerebral",F00-F09,F072,Síndrome pós-traumática,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F07,V,"Transtornos de personalidade e do comportamento devidos a doença, a lesão e a disfunção cerebral",F00-F09,F078,"Outros transtornos orgânicos da personalidade e do comportamento devidos a doença cerebral, lesão e disfunção","Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F07,V,"Transtornos de personalidade e do comportamento devidos a doença, a lesão e a disfunção cerebral",F00-F09,F079,"Transtorno orgânico não especificado da personalidade e do comportamento devido a doença cerebral, lesão e disfunção","Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F09,V,Transtorno mental orgânico ou sintomático não especificado,F00-F09,F09,Transtorno mental orgânico ou sintomático não especificado,"Transtornos mentais orgânicos, inclusive os sintomáticos",   Transtornos mentais e comportamentais
F10,V,Transtornos mentais e comportamentais devidos ao uso de álcool,F10-F19,F100,Transtornos mentais e comportamentais devidos ao uso de álcool - intoxicação aguda,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F10,V,Transtornos mentais e comportamentais devidos ao uso de álcool,F10-F19,F101,Transtornos mentais e comportamentais devidos ao uso de álcool - uso nocivo para a saúde,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F10,V,Transtornos mentais e comportamentais devidos ao uso de álcool,F10-F19,F102,Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome de dependência,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F10,V,Transtornos mentais e comportamentais devidos ao uso de álcool,F10-F19,F103,Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome [estado] de abstinência,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F10,V,Transtornos mentais e comportamentais devidos ao uso de álcool,F10-F19,F104,Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome de abstinência com delirium,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F10,V,Transtornos mentais e comportamentais devidos ao uso de álcool,F10-F19,F105,Transtornos mentais e comportamentais devidos ao uso de álcool - transtorno psicótico,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F10,V,Transtornos mentais e comportamentais devidos ao uso de álcool,F10-F19,F106,Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome amnésica,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F10,V,Transtornos mentais e comportamentais devidos ao uso de álcool,F10-F19,F107,Transtornos mentais e comportamentais devidos ao uso de álcool - transtorno psicótico residual ou de instalação tardia,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F10,V,Transtornos mentais e comportamentais devidos ao uso de álcool,F10-F19,F108,Transtornos mentais e comportamentais devidos ao uso de álcool - outros transtornos mentais ou comportamentais,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F10,V,Transtornos mentais e comportamentais devidos ao uso de álcool,F10-F19,F109,Transtornos mentais e comportamentais devidos ao uso de álcool - transtorno mental ou comportamental não especificado,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F11,V,Transtornos mentais e comportamentais devidos ao uso de opiáceos,F10-F19,F110,Transtornos mentais e comportamentais devidos ao uso de opiáceos - intoxicação aguda,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F11,V,Transtornos mentais e comportamentais devidos ao uso de opiáceos,F10-F19,F111,Transtornos mentais e comportamentais devidos ao uso de opiáceos - uso nocivo para a saúde,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F11,V,Transtornos mentais e comportamentais devidos ao uso de opiáceos,F10-F19,F112,Transtornos mentais e comportamentais devidos ao uso de opiáceos - síndrome de dependência,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F11,V,Transtornos mentais e comportamentais devidos ao uso de opiáceos,F10-F19,F113,Transtornos mentais e comportamentais devidos ao uso de opiáceos - síndrome [estado] de abstinência,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F11,V,Transtornos mentais e comportamentais devidos ao uso de opiáceos,F10-F19,F114,Transtornos mentais e comportamentais devidos ao uso de opiáceos - síndrome de abstinência com delirium,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F11,V,Transtornos mentais e comportamentais devidos ao uso de opiáceos,F10-F19,F115,Transtornos mentais e comportamentais devidos ao uso de opiáceos - transtorno psicótico,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F11,V,Transtornos mentais e comportamentais devidos ao uso de opiáceos,F10-F19,F116,Transtornos mentais e comportamentais devidos ao uso de opiáceos - síndrome amnésica,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F11,V,Transtornos mentais e comportamentais devidos ao uso de opiáceos,F10-F19,F117,Transtornos mentais e comportamentais devidos ao uso de opiáceos - transtorno psicótico residual ou de instalação tardia,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F11,V,Transtornos mentais e comportamentais devidos ao uso de opiáceos,F10-F19,F118,Transtornos mentais e comportamentais devidos ao uso de opiáceos - outros transtornos mentais ou comportamentais,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F11,V,Transtornos mentais e comportamentais devidos ao uso de opiáceos,F10-F19,F119,Transtornos mentais e comportamentais devidos ao uso de opiáceos - transtorno mental ou comportamental não especificado,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F12,V,Transtornos mentais e comportamentais devidos ao uso de canabinóides,F10-F19,F120,Transtornos mentais e comportamentais devidos ao uso de canabinóides - intoxicação aguda,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F12,V,Transtornos mentais e comportamentais devidos ao uso de canabinóides,F10-F19,F121,Transtornos mentais e comportamentais devidos ao uso de canabinóides - uso nocivo para a saúde,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F12,V,Transtornos mentais e comportamentais devidos ao uso de canabinóides,F10-F19,F122,Transtornos mentais e comportamentais devidos ao uso de canabinóides - síndrome de dependência,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F12,V,Transtornos mentais e comportamentais devidos ao uso de canabinóides,F10-F19,F123,Transtornos mentais e comportamentais devidos ao uso de canabinóides - síndrome [estado] de abstinência,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F12,V,Transtornos mentais e comportamentais devidos ao uso de canabinóides,F10-F19,F124,Transtornos mentais e comportamentais devidos ao uso de canabinóides - síndrome de abstinência com delirium,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F12,V,Transtornos mentais e comportamentais devidos ao uso de canabinóides,F10-F19,F125,Transtornos mentais e comportamentais devidos ao uso de canabinóides - transtorno psicótico,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F12,V,Transtornos mentais e comportamentais devidos ao uso de canabinóides,F10-F19,F126,Transtornos mentais e comportamentais devidos ao uso de canabinóides - síndrome amnésica,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F12,V,Transtornos mentais e comportamentais devidos ao uso de canabinóides,F10-F19,F127,Transtornos mentais e comportamentais devidos ao uso de canabinóides - transtorno psicótico residual ou de instalação tardia,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F12,V,Transtornos mentais e comportamentais devidos ao uso de canabinóides,F10-F19,F128,Transtornos mentais e comportamentais devidos ao uso de canabinóides - outros transtornos mentais ou comportamentais,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F12,V,Transtornos mentais e comportamentais devidos ao uso de canabinóides,F10-F19,F129,Transtornos mentais e comportamentais devidos ao uso de canabinóides - transtorno mental ou comportamental não especificado,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F13,V,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos,F10-F19,F130,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos - intoxicação aguda,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F13,V,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos,F10-F19,F131,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos - uso nocivo para a saúde,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F13,V,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos,F10-F19,F132,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos - síndrome de dependência,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F13,V,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos,F10-F19,F133,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos - síndrome [estado] de abstinência,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F13,V,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos,F10-F19,F134,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos - síndrome de abstinência com delirium,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F13,V,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos,F10-F19,F135,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos - transtorno psicótico,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F13,V,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos,F10-F19,F136,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos - síndrome amnésica,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F13,V,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos,F10-F19,F137,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos - transtorno psicótico residual ou de instalação tardia,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F13,V,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos,F10-F19,F138,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos - outros transtornos mentais ou comportamentais,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F13,V,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos,F10-F19,F139,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos - transtorno mental ou comportamental não especificado,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F14,V,Transtornos mentais e comportamentais devidos ao uso da cocaína,F10-F19,F140,Transtornos mentais e comportamentais devidos ao uso da cocaína - intoxicação aguda,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F14,V,Transtornos mentais e comportamentais devidos ao uso da cocaína,F10-F19,F141,Transtornos mentais e comportamentais devidos ao uso da cocaína - uso nocivo para a saúde,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F14,V,Transtornos mentais e comportamentais devidos ao uso da cocaína,F10-F19,F142,Transtornos mentais e comportamentais devidos ao uso da cocaína - síndrome de dependência,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F14,V,Transtornos mentais e comportamentais devidos ao uso da cocaína,F10-F19,F143,Transtornos mentais e comportamentais devidos ao uso da cocaína - síndrome [estado] de abstinência,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F14,V,Transtornos mentais e comportamentais devidos ao uso da cocaína,F10-F19,F144,Transtornos mentais e comportamentais devidos ao uso da cocaína - síndrome de abstinência com delirium,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F14,V,Transtornos mentais e comportamentais devidos ao uso da cocaína,F10-F19,F145,Transtornos mentais e comportamentais devidos ao uso da cocaína - transtorno psicótico,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F14,V,Transtornos mentais e comportamentais devidos ao uso da cocaína,F10-F19,F146,Transtornos mentais e comportamentais devidos ao uso da cocaína - síndrome amnésica,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F14,V,Transtornos mentais e comportamentais devidos ao uso da cocaína,F10-F19,F147,Transtornos mentais e comportamentais devidos ao uso da cocaína - transtorno psicótico residual ou de instalação tardia,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F14,V,Transtornos mentais e comportamentais devidos ao uso da cocaína,F10-F19,F148,Transtornos mentais e comportamentais devidos ao uso da cocaína - outros transtornos mentais ou comportamentais,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F14,V,Transtornos mentais e comportamentais devidos ao uso da cocaína,F10-F19,F149,Transtornos mentais e comportamentais devidos ao uso da cocaína - transtorno mental ou comportamental não especificado,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F15,V,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína",F10-F19,F150,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína - intoxicação aguda",Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F15,V,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína",F10-F19,F151,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína - uso nocivo para a saúde",Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F15,V,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína",F10-F19,F152,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína - síndrome de dependência",Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F15,V,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína",F10-F19,F153,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína - síndrome [estado] de abstinência",Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F15,V,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína",F10-F19,F154,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína - síndrome de abstinência com delirium",Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F15,V,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína",F10-F19,F155,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína - transtorno psicótico",Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F15,V,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína",F10-F19,F156,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína - síndrome amnésica",Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F15,V,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína",F10-F19,F157,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína - transtorno psicótico residual ou de instalação tardia",Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F15,V,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína",F10-F19,F158,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína - outros transtornos mentais ou comportamentais",Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F15,V,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína",F10-F19,F159,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína - transtorno mental ou comportamental não especificado",Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F16,V,Transtornos mentais e comportamentais devidos ao uso de alucinógenos,F10-F19,F160,Transtornos mentais e comportamentais devidos ao uso de alucinógenos - intoxicação aguda,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F16,V,Transtornos mentais e comportamentais devidos ao uso de alucinógenos,F10-F19,F161,Transtornos mentais e comportamentais devidos ao uso de alucinógenos - uso nocivo para a saúde,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F16,V,Transtornos mentais e comportamentais devidos ao uso de alucinógenos,F10-F19,F162,Transtornos mentais e comportamentais devidos ao uso de alucinógenos - síndrome de dependência,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F16,V,Transtornos mentais e comportamentais devidos ao uso de alucinógenos,F10-F19,F163,Transtornos mentais e comportamentais devidos ao uso de alucinógenos - síndrome [estado] de abstinência,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F16,V,Transtornos mentais e comportamentais devidos ao uso de alucinógenos,F10-F19,F164,Transtornos mentais e comportamentais devidos ao uso de alucinógenos - síndrome de abstinência com delirium,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F16,V,Transtornos mentais e comportamentais devidos ao uso de alucinógenos,F10-F19,F165,Transtornos mentais e comportamentais devidos ao uso de alucinógenos - transtorno psicótico,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F16,V,Transtornos mentais e comportamentais devidos ao uso de alucinógenos,F10-F19,F166,Transtornos mentais e comportamentais devidos ao uso de alucinógenos - síndrome amnésica,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F16,V,Transtornos mentais e comportamentais devidos ao uso de alucinógenos,F10-F19,F167,Transtornos mentais e comportamentais devidos ao uso de alucinógenos - transtorno psicótico residual ou de instalação tardia,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F16,V,Transtornos mentais e comportamentais devidos ao uso de alucinógenos,F10-F19,F168,Transtornos mentais e comportamentais devidos ao uso de alucinógenos - outros transtornos mentais ou comportamentais,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F16,V,Transtornos mentais e comportamentais devidos ao uso de alucinógenos,F10-F19,F169,Transtornos mentais e comportamentais devidos ao uso de alucinógenos - transtorno mental ou comportamental não especificado,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F17,V,Transtornos mentais e comportamentais devidos ao uso de fumo,F10-F19,F170,Transtornos mentais e comportamentais devidos ao uso de fumo - intoxicação aguda,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F17,V,Transtornos mentais e comportamentais devidos ao uso de fumo,F10-F19,F171,Transtornos mentais e comportamentais devidos ao uso de fumo - uso nocivo para a saúde,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F17,V,Transtornos mentais e comportamentais devidos ao uso de fumo,F10-F19,F172,Transtornos mentais e comportamentais devidos ao uso de fumo - síndrome de dependência,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F17,V,Transtornos mentais e comportamentais devidos ao uso de fumo,F10-F19,F173,Transtornos mentais e comportamentais devidos ao uso de fumo - síndrome [estado] de abstinência,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F17,V,Transtornos mentais e comportamentais devidos ao uso de fumo,F10-F19,F174,Transtornos mentais e comportamentais devidos ao uso de fumo - síndrome de abstinência com delirium,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F17,V,Transtornos mentais e comportamentais devidos ao uso de fumo,F10-F19,F175,Transtornos mentais e comportamentais devidos ao uso de fumo - transtorno psicótico,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F17,V,Transtornos mentais e comportamentais devidos ao uso de fumo,F10-F19,F176,Transtornos mentais e comportamentais devidos ao uso de fumo - síndrome amnésica,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F17,V,Transtornos mentais e comportamentais devidos ao uso de fumo,F10-F19,F177,Transtornos mentais e comportamentais devidos ao uso de fumo - transtorno psicótico residual ou de instalação tardia,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
F17,V,Transtornos mentais e comportamentais devidos ao uso de fumo,F10-F19,F178,Transtornos mentais e comportamentais devidos ao uso de fumo - outros transtornos mentais ou comportamentais,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,   Transtornos mentais e comportamentais
